jpg_link;AUTHOR;TITLE;TECHNIQUE;LOCATION;TYPE;SCHOOL;TIMEFRAME;CSS2_1;CSS2_2;CSS2_3;CSS2_4;CSS2_5;CSS2_6;CSS2_7;CSS2_8;CSS2_9;CSS3_1;CSS3_2;CSS3_3;CSS3_4;CSS3_5;CSS3_6;CSS3_7;CSS3_8;CSS3_9;ESA_1;ESA_2;ESA_3;ESA_4;ESA_5;ESA_6;ESA_7;ESA_8;ESA_9
http://www.wga.hu/art/r/rubens/10religi/09religi.jpg;RUBENS, Peter Paul;The Crucified Christ;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1601-1650;brown;gray;brown;gray;gray;gray;black;black;green;tan;dimgrey;rosybrown;darkslategray;darkslategray;darkslategray;black;black;darkolivegreen;#cfb68d;#7c624f;#a68b6a;#393335;#3d2826;#2a2629;#1f1b1e;#151416;#58403a
http://www.wga.hu/art/c/clouet/jean/dauphin.jpg;CLOUET, Jean;The Dauphin François, Son of François I;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;portrait;French;1501-1550;brown;red;brown;red;black;brown;brown;brown;gray;burlywood;darksalmon;sienna;darksalmon;black;saddlebrown;burlywood;peru;darkslategray;#ecc89b;#e1a36d;#9a493e;#cf9c6f;#150f0b;#763730;#e6b583;#bd815b;#442b23
http://www.wga.hu/art/v/vos_m/emperor.jpg;VOS, Marten de;The Emperor's Toll;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1551-1600;brown;brown;gray;red;brown;brown;brown;black;red;sienna;wheat;darkslategray;indianred;saddlebrown;burlywood;rosybrown;black;darksalmon;#8b5044;#e8c8ac;#492822;#a36956;#683e34;#ddaf8d;#b68269;#26110d;#cc9778
http://www.wga.hu/art/f/floris/frans/rebellio.jpg;FLORIS, Frans;The Fall of the Rebellious Angels;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1551-1600;brown;brown;green;black;yellow;brown;brown;brown;brown;saddlebrown;sienna;darkolivegreen;black;darkkhaki;peru;peru;rosybrown;sienna;#7c4a32;#9e683b;#58342b;#1b1012;#d0a466;#ba8447;#9f7b54;#af9370;#895e3d
http://www.wga.hu/art/h/hals/frans/03-1630/34fish_b.jpg;HALS, Frans;The Fisher Boy;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;portrait;Dutch;1601-1650;gray;gray;gray;gray;green;brown;brown;gray;brown;darkslategray;grey;darkslategray;dimgrey;darkolivegreen;rosybrown;rosybrown;dimgrey;tan;#3b2d2b;#99836d;#302121;#857361;#564037;#b19276;#baa994;#726152;#d0bfa5
http://www.wga.hu/art/s/siberech/thewager.jpg;SIBERECHTS, Jan;The Ford;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;landscape;Flemish;1651-1700;gray;brown;gray;gray;black;gray;gray;gray;green;darkslategray;brown;grey;darkgray;black;dimgrey;grey;silver;darkolivegreen;#443634;#9c3b36;#998f80;#b5a896;#251e1f;#70645a;#887869;#d5c8b9;#5e4e47
http://www.wga.hu/art/s/savery/roelandt/gardened.jpg;SAVERY, Roelandt;The Garden of Eden;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;landscape;Dutch;1601-1650;green;gray;green;brown;gray;brown;gray;gray;gray;darkolivegreen;darkslategray;darkolivegreen;tan;dimgrey;rosybrown;grey;lightgray;darkslategray;#6e4c3e;#382522;#623f34;#c3b3a1;#84614d;#ac9988;#a08168;#ded1be;#51362f
http://www.wga.hu/art/d/david/1/pilate2.jpg;DAVID, Gerard;The Holy Women and St John at Golgotha;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1501-1550;gray;gray;black;brown;brown;gray;gray;red;gray;darkslategray;darkslategray;black;saddlebrown;sienna;lightslategrey;dimgrey;indianred;silver;#462323;#2c292f;#100f11;#752f2d;#9e5545;#8e9690;#6e5848;#bb7d64;#d9ccb3
http://www.wga.hu/art/v/vrel/hospital.jpg;VREL, Jacobus;The Hospital Orderly;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;genre;Dutch;1651-1700;black;black;brown;green;brown;yellow;brown;gray;brown;black;black;sienna;darkolivegreen;peru;darkkhaki;sienna;darkslategray;wheat;#261b16;#1c1410;#95684b;#593529;#af855e;#cca475;#874d35;#3a251f;#edcf9f
http://www.wga.hu/art/r/rubens/10religi/12religi.jpg;RUBENS, Peter Paul;The Incredulity of St Thomas;Oil on wood;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1601-1650;brown;black;brown;gray;brown;brown;green;brown;brown;saddlebrown;black;burlywood;darkslategray;saddlebrown;sienna;darkolivegreen;sienna;rosybrown;#5e2c21;#160d08;#dfbe9a;#3f241b;#783d2c;#9f6c50;#5b4638;#a55038;#c59975
http://www.wga.hu/art/d/dyck_van/3other/lamentat.jpg;DYCK, Sir Anthony van;The Lamentation of Christ;Oil on canvas;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1601-1650;gray;gray;gray;green;gray;black;gray;gray;gray;darkslategray;silver;dimgrey;darkolivegreen;grey;black;dimgrey;darkslategray;darkslategray;#412f34;#d9cab2;#7d6259;#674440;#9f8c79;#1b1316;#5b5a61;#4e2a2c;#36353e
http://www.wga.hu/art/r/rubens/12religi/40religi.jpg;RUBENS, Peter Paul;The Last Communion of St Francis;Oil on panel;Koninklijk Museum voor Schone Kunsten, Antwerp;religious;Flemish;1601-1650;black;gray;brown;brown;yellow;gray;brown;gray;brown;black;lightgray;peru;sienna;darkkhaki;darkgray;saddlebrown;darkslategray;burlywood;#211813;#e0d7c5;#a47954;#825439;#c19d74;#c0b7a4;#5c3021;#493426;#e4c291
